audio,fold,MFCC,target
102105-3-0-0.wav,3,"[-299.03021240234375, 131.81906127929688, -50.371337890625, -0.7531535029411316, -18.994901657104492, 9.542160987854004, -21.867589950561523, 11.940933227539062, -14.088826179504395, 2.802978515625, 4.789511203765869, 1.1649572849273682, 3.947460174560547]",dog_bark
103199-4-0-0.wav,3,"[-181.20924377441406, 157.73272705078125, -130.25621032714844, 18.132726669311523, -38.08918762207031, 21.98590660095215, -20.616544723510742, 0.02768121287226677, -0.40775230526924133, -10.69683837890625, 5.330269813537598, -12.711738586425781, -7.66722297668457]",drilling
103199-4-0-3.wav,3,"[-121.92496490478516, 171.46791076660156, -124.4805679321289, 10.616990089416504, -33.66008377075195, 14.157876014709473, -20.760541915893555, -6.252610683441162, -6.493484020233154, -16.23592758178711, -0.35562628507614136, -16.1333065032959, -8.307528495788574]",drilling
103199-4-0-4.wav,3,"[-124.3020248413086, 191.14610290527344, -128.67315673828125, 19.59195327758789, -43.736289978027344, 18.354406356811523, -27.552989959716797, -2.7236990928649902, -8.676775932312012, -15.189569473266602, -3.5944690704345703, -20.23956298828125, -6.5549492835998535]",drilling
103199-4-0-5.wav,3,"[-121.51805114746094, 191.13253784179688, -126.17845153808594, 21.81601333618164, -42.80373764038086, 17.4209041595459, -31.418359756469727, -5.704061985015869, -10.926961898803711, -15.150676727294922, -4.146119594573975, -19.418312072753906, -4.02480411529541]",drilling
103199-4-0-6.wav,3,"[-120.26876068115234, 183.5542449951172, -129.99191284179688, 20.040184020996094, -39.77799606323242, 23.321556091308594, -27.743894577026367, -2.02258038520813, -7.318726062774658, -10.302263259887695, 1.6129307746887207, -15.646625518798828, -1.8832632303237915]",drilling
103199-4-1-0.wav,3,"[-437.1860656738281, 58.04046630859375, -53.01939010620117, -1.943379521369934, -7.974200248718262, 7.722765922546387, -5.351088047027588, 0.9302011728286743, -0.03772779926657677, -1.4504046440124512, -0.3987801671028137, -6.187603950500488, -0.7781363129615784]",drilling
103199-4-2-0.wav,3,"[-141.01211547851562, 159.28662109375, -152.9027557373047, 9.87419319152832, -31.701704025268555, 24.032337188720703, -18.612773895263672, 5.373808860778809, 1.9678070545196533, -1.81582772731781, 1.1904709339141846, -14.433698654174805, 0.6186242699623108]",drilling
103199-4-2-1.wav,3,"[-132.64710998535156, 165.37510681152344, -150.05006408691406, 13.6441068649292, -27.88213348388672, 26.618104934692383, -16.333330154418945, 5.677864074707031, 2.8364343643188477, -1.878764033317566, 4.692431449890137, -10.687117576599121, 1.7753658294677734]",drilling
103199-4-2-10.wav,3,"[-144.63978576660156, 122.78054809570312, -174.7647247314453, 8.971491813659668, -38.148597717285156, 25.31895637512207, -17.498048782348633, 5.428890228271484, 8.155921936035156, 0.27642592787742615, 9.335654258728027, -6.429325103759766, 6.86678409576416]",drilling
