audio,fold,MFCC,target
101848-9-0-0.wav,7,"[-269.4911804199219, 172.9449920654297, 0.07841816544532776, 15.525914192199707, -4.109747409820557, 25.26106834411621, -5.106536388397217, 4.937950134277344, -6.138522624969482, 11.922578811645508, 6.063422679901123, -3.7537739276885986, -0.5543177723884583]",street_music
101848-9-0-1.wav,7,"[-272.1537170410156, 174.03372192382812, -0.27759188413619995, 15.326946258544922, -4.505092144012451, 25.0720157623291, -3.6320323944091797, 4.652770519256592, -4.102370738983154, 12.759127616882324, 4.513047695159912, -2.8094959259033203, -1.5786893367767334]",street_music
101848-9-0-2.wav,7,"[-268.06060791015625, 166.3927764892578, 0.16307708621025085, 17.380563735961914, -5.411259651184082, 23.1308536529541, -1.0331827402114868, 3.942965269088745, -3.451478958129883, 13.655916213989258, 1.6257704496383667, -6.215014457702637, -3.221806049346924]",street_music
101848-9-0-3.wav,7,"[-273.252685546875, 172.01988220214844, 3.0934231281280518, 15.570087432861328, -4.070893287658691, 23.280149459838867, -0.8562701940536499, 7.1296515464782715, -5.451827049255371, 10.403386116027832, -1.8885087966918945, -6.360708713531494, -2.3279550075531006]",street_music
101848-9-0-8.wav,7,"[-287.26043701171875, 177.71820068359375, 1.859541654586792, 18.106937408447266, -6.3027215003967285, 23.189090728759766, -3.0039806365966797, 5.584850311279297, -11.838245391845703, 9.486823081970215, 2.345724105834961, -2.7716574668884277, -0.17131781578063965]",street_music
101848-9-0-9.wav,7,"[-279.4784851074219, 170.54998779296875, 0.623498260974884, 19.396713256835938, -5.702834129333496, 23.74085807800293, -3.5543506145477295, 3.7268126010894775, -11.09146785736084, 12.279223442077637, 1.9845455884933472, 0.29403695464134216, 1.6009372472763062]",street_music
102853-8-0-0.wav,7,"[-262.9038391113281, 166.6642303466797, -28.382091522216797, -11.162039756774902, -18.49938201904297, -10.144157409667969, -0.636970043182373, 11.786910057067871, 18.208707809448242, 6.900820732116699, -5.014502048492432, -8.582324028015137, -1.9070595502853394]",siren
102853-8-0-1.wav,7,"[-260.16766357421875, 164.36737060546875, -31.75844383239746, -13.861602783203125, -19.969680786132812, -6.347640514373779, 2.246769666671753, 12.1976318359375, 15.093705177307129, 4.526430130004883, -6.644372940063477, -8.805619239807129, -0.9883910417556763]",siren
102853-8-0-2.wav,7,"[-264.09906005859375, 161.60079956054688, -25.797332763671875, -11.364344596862793, -22.740341186523438, -3.732603073120117, 4.962416648864746, 11.108278274536133, 14.2308988571167, 5.427471160888672, -5.734658241271973, -7.890329360961914, -1.0321366786956787]",siren
102853-8-0-3.wav,7,"[-267.48565673828125, 150.54701232910156, -22.964143753051758, -6.502775192260742, -24.746814727783203, 1.9413535594940186, 8.356491088867188, 13.089139938354492, 13.77184772491455, 3.201568126678467, -6.934512138366699, -6.886012554168701, 2.4021341800689697]",siren
